"06501: Inntekter, gjeld, bruttoformue og utlignet skatt for personlige skogeiere og deres ektefelle/samboer (1 000 kr), etter statistikkvariabel, region og år"

"statistikkvariabel";"region";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Personinntekt lønn og pensjon";"14 Sogn og Fjordane (-2019)";1841310;1932376;2089764;2370856;2476508;2545783;2878607;3080813;3461958;3615448;3703225;3789823;3774366;3904521;4034916;0;0
"Personinntekt lønn og pensjon";"15 Møre og Romsdal";2613862;2815463;3147205;3472834;3603383;3759817;4177913;4509769;5088045;5290869;5389436;5485959;5580180;5710866;5777012;5879758;6038870
"Personinntekt lønn og pensjon";"50 Trøndelag - Trööndelage";0;0;0;0;0;0;0;0;0;0;0;0;0;8440767;8852620;9198037;9555722
"Personinntekt lønn og pensjon";"16 Sør-Trøndelag (-2017)";2477421;2607541;2843477;3239978;3358625;3534441;3594342;3886635;4382395;4563049;4696130;4831398;4703366;0;0;0;0
"Personinntekt lønn og pensjon";"17 Nord-Trøndelag (-2017)";1875054;1949728;2128435;2333799;2459440;2553482;2693649;2889911;3238089;3352833;3400671;3483588;3392955;0;0;0;0
"Personinntekt lønn og pensjon";"18 Nordland - Nordlánnda";2911846;2989647;3261546;3623089;3710765;3850400;3761741;4320044;5001332;5213604;5323589;5418730;5460792;5577935;5761615;5784400;5993966
"Personinntekt lønn og pensjon";"54 Troms og Finnmark - Romsa ja Finnmárku";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5404292;5614037
"Personinntekt lønn og pensjon";"19 Troms - Romsa (-2019)";2181370;2301706;2636998;3017000;3111464;3218978;3088127;3614315;4193954;4406109;4460729;4541211;4580226;4740183;4887763;0;0
"Personinntekt lønn og pensjon";"20 Finnmark - Finnmárku (-2019)";184763;200343;216612;256823;259639;252751;213115;267252;298817;299042;312451;322925;320234;327486;335799;0;0
"Lønnsinntekt";"03+30 Oslo og Viken";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13210548;13818521
"Lønnsinntekt";"01 Østfold (-2019)";1462130;1524015;1652683;1817065;1857026;1938993;2026964;2150602;2220847;2301991;2371516;2433338;2431791;2516503;2586530;0;0
"Lønnsinntekt";"02-03 Oslo og Akershus (-2019)";3271479;3433595;3753624;4188098;4130283;4529140;4699832;5300560;5410839;5643754;5982449;5991924;5979350;6137695;6326653;0;0
"Lønnsinntekt";"06 Buskerud (-2019)";2066404;2186060;2376772;2589861;2627414;2727386;2920558;3119936;3255262;3372437;3509982;3588052;3541033;3648488;3759151;0;0
"Lønnsinntekt";"34 Innlandet";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8074959;8354283
"Lønnsinntekt";"04 Hedmark (-2019)";2379255;2452148;2642566;2913900;3012750;3131233;3267463;3413571;3553783;3628941;3738538;3730478;3628696;3752913;3820949;0;0
"Lønnsinntekt";"05 Oppland (-2019)";2367721;2474108;2706298;3014409;3123578;3234319;3432311;3659646;3802919;3915349;4077059;4158746;4044714;4170363;4282802;0;0
"Lønnsinntekt";"38 Vestfold og Telemark";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5098330;5264122
"Lønnsinntekt";"07 Vestfold (-2019)";1168871;1256904;1355043;1499623;1508494;1567247;1676277;1772355;1838703;1890763;1955035;1983356;2002788;2064872;2120591;0;0
"Lønnsinntekt";"08 Telemark (-2019)";1684658;1712922;1895138;2092338;2152110;2251927;2407521;2546288;2630092;2715628;2814469;2843797;2862417;2957019;3010112;0;0
"Lønnsinntekt";"42 Agder";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5008009;5179973
"Lønnsinntekt";"09 Aust-Agder (-2019)";1044279;1093408;1198027;1360515;1398693;1458717;1572606;1716138;1789054;1865040;1930114;1893631;1950618;1963222;2005955;0;0
"Lønnsinntekt";"10 Vest-Agder (-2019)";1363530;1416735;1544124;1821425;1855084;2011284;2226393;2419769;2547014;2602866;2664810;2671891;2743945;2832077;2932450;0;0
"Lønnsinntekt";"11 Rogaland";1305104;1411528;1561744;1898539;1969609;2065601;2434120;2701411;2865865;2986156;3013436;2975451;3002826;3065310;3199437;3221893;3407736
"Lønnsinntekt";"46 Vestland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8206891;8467196
"Lønnsinntekt";"12 Hordaland (-2019)";2474746;2662641;2922302;3424186;3511307;3637113;4248770;4728264;4940773;5087816;5253728;5268208;4983568;5125912;5272656;0;0
"Lønnsinntekt";"14 Sogn og Fjordane (-2019)";1476370;1552364;1670920;1919199;1980893;2043289;2408051;2555675;2679270;2760715;2842447;2883046;2819255;2896186;2964225;0;0
"Lønnsinntekt";"15 Møre og Romsdal";2026531;2186937;2454945;2745887;2802649;2935020;3457119;3696625;3854092;3947051;4056772;4076327;4080423;4146553;4157920;4217365;4303296
"Lønnsinntekt";"50 Trøndelag - Trööndelage";0;0;0;0;0;0;0;0;0;0;0;0;0;6481727;6767384;7029582;7306640
"Lønnsinntekt";"16 Sør-Trøndelag (-2017)";1917651;2027577;2209852;2538930;2584928;2753299;2967776;3197573;3329588;3443764;3603566;3697259;3516398;0;0;0;0
"Lønnsinntekt";"17 Nord-Trøndelag (-2017)";1524622;1591061;1738015;1927191;2005716;2094334;2323581;2487625;2610464;2678378;2771957;2817466;2691840;0;0;0;0
"Lønnsinntekt";"18 Nordland - Nordlánnda";1916970;1976386;2161637;2417064;2424132;2564448;2746187;3105851;3203774;3305166;3444947;3458981;3419637;3442702;3528886;3521752;3642105
"Lønnsinntekt";"54 Troms og Finnmark - Romsa ja Finnmárku";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3344175;3453697
"Lønnsinntekt";"19 Troms - Romsa (-2019)";1466472;1536869;1750081;2027365;2040139;2136624;2247566;2587167;2690196;2786982;2871448;2900125;2847965;2931278;3008511;0;0
"Lønnsinntekt";"20 Finnmark - Finnmárku (-2019)";126362;137935;149704;182857;179232;174372;164493;205899;205713;205328;221956;230248;225820;232662;239745;0;0
"Næringsinntekt i alt";"03+30 Oslo og Viken";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4119870;4632016
"Næringsinntekt i alt";"01 Østfold (-2019)";965176;748552;822578;860846;732296;842774;839620;845549;830124;923044;994609;974013;990749;978838;1076347;0;0
"Næringsinntekt i alt";"02-03 Oslo og Akershus (-2019)";1932060;1086156;1090212;1204096;1158359;1230430;1254896;1355391;1313621;1451988;1561880;1566547;1554650;1637932;1767230;0;0
"Næringsinntekt i alt";"06 Buskerud (-2019)";1926325;895561;1009101;1010702;983309;1019743;1095739;1105057;1097895;1127188;1190816;1196937;1155575;1230272;1202502;0;0
"Næringsinntekt i alt";"34 Innlandet";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3163694;3449675
"Næringsinntekt i alt";"04 Hedmark (-2019)";1242749;1032642;1195388;1282469;1186959;1264184;1272343;1350787;1302044;1392725;1447268;1434208;1465108;1475360;1501077;0;0
"Næringsinntekt i alt";"05 Oppland (-2019)";1658117;1135209;1261991;1312645;1268464;1333049;1355270;1401819;1456700;1478124;1574234;1562610;1591267;1732398;1598628;0;0
"Næringsinntekt i alt";"38 Vestfold og Telemark";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1346721;1403435
"Næringsinntekt i alt";"07 Vestfold (-2019)";710877;529587;595421;629593;588045;618056;601758;629166;618260;684001;755016;692443;697646;732373;754895;0;0
"Næringsinntekt i alt";"08 Telemark (-2019)";675353;418142;484061;482408;455852;471792;484361;516318;543746;527048;526442;519368;514012;562595;552002;0;0
